enderecos,lon,lat,endereco_completo
"AV. BRASILIA,  295 - CENTRO, Alexânia - GO, 72920-000",-48.5009221,-16.08944,"AV. BRASILIA,  295 - CENTRO, Alexânia - GO, 72920-000"
"PCA.GETULIO VARGAS,65 - CENTRO, Alfenas - MG, 37130-000",-45.9464496,-21.4279666,"PCA.GETULIO VARGAS,65 - CENTRO, Alfenas - MG, 37130-000"
"PRACA GETULIO VARGAS, NUM 334 - CENTRO, Alfenas - MG, 37130-073",-45.9477726,-21.429823,"PRACA GETULIO VARGAS, NUM 334 - CENTRO, Alfenas - MG, 37130-073"
"AVENIDA JOVINO FERNANDES SALLES, N 1240 - JARDIM ALVORADA, Alfenas - MG, 37135-242",-45.9690391,-21.4238732,"AVENIDA JOVINO FERNANDES SALLES, N 1240 - JARDIM ALVORADA, Alfenas - MG, 37135-242"
"AV. PRESIDENTE ARTUR BERNARDES, 763 - CENTRO, Alfenas - MG, 37130-000",-45.9488137,-21.4287201,"AV. PRESIDENTE ARTUR BERNARDES, 763 - CENTRO, Alfenas - MG, 37130-000"
"RUA JUSCELINO BARBOSA, 1131 - CENTRO, Alfenas - MG, 37130-000",-45.9481446,-21.4264364,"RUA JUSCELINO BARBOSA, 1131 - CENTRO, Alfenas - MG, 37130-000"
"PRACA GETULIO VARGAS, 219 - CENTRO, Alfenas - MG, 37130-000",-45.946825,-21.4292634,"PRACA GETULIO VARGAS, 219 - CENTRO, Alfenas - MG, 37130-000"
"AV.GETULIO VARGAS,693 - CENTRO, Alfredo Chaves - ES, 29240-000",-40.7485883,-20.6358295,"AV.GETULIO VARGAS,693 - CENTRO, Alfredo Chaves - ES, 29240-000"
"AVENIDA GETULIO VARGAS, NUM 364 - CENTRO, Alfredo Chaves - ES, 29240-000",-40.7509655,-20.6349047,"AVENIDA GETULIO VARGAS, NUM 364 - CENTRO, Alfredo Chaves - ES, 29240-000"
"AV. GETÚLIO VARGAS, 785 - CENTRO, Alfredo Chaves - ES, 29240-000",-40.7493349,-20.6356324,"AV. GETÚLIO VARGAS, 785 - CENTRO, Alfredo Chaves - ES, 29240-000"
"R.ANITAPOLIS,250 - CENTRO, Alfredo Wagner - SC, 88450-000",-49.3342678,-27.7014835,"R.ANITAPOLIS,250 - CENTRO, Alfredo Wagner - SC, 88450-000"
"R.JOAO PESSOA,547 - CENTRO, Alhandra - PB, 58320-000",-34.9125169,-7.4320413,"R.JOAO PESSOA,547 - CENTRO, Alhandra - PB, 58320-000"
"PCA.WALFREDO PESSOA,115 - CENTRO, Aliança - PE, 55890-000",-35.2386273,-7.5735163,"PCA.WALFREDO PESSOA,115 - CENTRO, Aliança - PE, 55890-000"
"AV.BERNARDO SAYAO,300 - CENTRO, Aliança do Tocantins - TO, 77455-000",-48.938583,-11.3055225,"AV.BERNARDO SAYAO,300 - CENTRO, Aliança do Tocantins - TO, 77455-000"
"R.SAO BENEDITO,1122 - CENTRO, Almeirim - PA, 68230-000",-52.5714944,-1.5289532,"R.SAO BENEDITO,1122 - CENTRO, Almeirim - PA, 68230-000"
"R.F,S/N - DIST.MONTE DOURADO, Almeirim - PA, 68240-000",-52.5368624,-0.8654569,"R.F,S/N - DIST.MONTE DOURADO, Almeirim - PA, 68240-000"
"RUA SÃO BENEDITO, 1035 - CENTRO, Almeirim - PA, 68230-000",-52.5714996,-1.5289351,"RUA SÃO BENEDITO, 1035 - CENTRO, Almeirim - PA, 68230-000"
"RUA 93, S/N - MONTE DOURADO, Almeirim - PA, 68240-000",-52.5375009,-0.8674133,"RUA 93, S/N - MONTE DOURADO, Almeirim - PA, 68240-000"
